                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1998,                 2.4592,                 3.3813,                  1.107,                0.01099,                0.64137,                0.12325,                 0.0854,                 0.0115,                0.66964,                 0.1344,                0.09387,                 0.6431,                 1.2284,                 3.1433,                0.90386,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.0113,                 1.8513,                 3.2137,                 1.0243,                0.01724,                0.99107,                  0.413,                0.32201,                0.01707,                0.98214,                0.42046,                0.33072,                0.67913,                0.93075,                 3.0088,                0.86815,             0.00014854,             0.00014854,             0.00014854
                      3,                0.87425,                 1.0476,                 2.1027,                0.91847,                 0.0177,                      1,                0.48525,                0.35492,                 0.0177,                      1,                0.48596,                0.37516,                 0.6388,                0.84246,                 2.7495,                0.84472,             0.00022876,             0.00022876,             0.00022876
                      4,                0.90143,                0.99933,                 1.4641,                0.92595,                0.01741,                      1,                0.59014,                0.41884,                0.01741,                      1,                0.59809,                0.48004,                0.71541,                0.80416,                 2.6071,                0.84734,             0.00030732,             0.00030732,             0.00030732
                      5,                0.80536,                0.89947,                 1.2723,                0.90897,                0.01737,                      1,                0.66044,                0.48374,                0.01737,                      1,                0.66141,                0.51643,                0.66863,                0.82039,                 2.6001,                0.83825,             0.00038424,             0.00038424,             0.00038424
                      6,                0.74473,                0.84905,                 1.0821,                 0.8827,                0.01718,                0.99107,                0.67895,                0.48195,                0.01735,                      1,                0.66253,                0.53322,                0.64063,                 0.8217,                 2.6977,                 0.8626,              0.0004595,              0.0004595,              0.0004595
                      7,                0.73308,                0.86232,                 1.0387,                0.88833,                0.01732,                      1,                0.73307,                0.56747,                0.01732,                      1,                0.74087,                0.60991,                0.63016,                0.90115,                 2.7529,                0.88353,             0.00053311,             0.00053311,             0.00053311
                      8,                0.69104,                0.80702,                0.94605,                0.88323,                0.01715,                0.98958,                0.37699,                0.29642,                0.01715,                0.98958,                0.38939,                 0.3207,                 0.5837,                0.79913,                  2.838,                  0.872,             0.00060508,             0.00060508,             0.00060508
                      9,                0.65833,                0.76515,                0.87856,                0.89531,                0.01714,                0.98958,                0.82143,                0.67827,                0.01714,                0.98958,                0.81137,                0.65621,                0.58415,                0.90592,                 2.7182,                0.86055,             0.00067539,             0.00067539,             0.00067539
                     10,                0.64732,                0.75411,                0.78666,                0.89672,                0.01731,                      1,                0.61757,                0.50775,                0.01731,                      1,                0.62042,                0.50782,                 0.5802,                0.86578,                 2.7632,                0.86554,             0.00074405,             0.00074405,             0.00074405
                     11,                0.67518,                0.71299,                0.78652,                0.88412,                0.01731,                      1,                0.75476,                0.62914,                0.01731,                      1,                0.75711,                0.62883,                0.62025,                0.83929,                 2.7023,                0.87334,             0.00081106,             0.00081106,             0.00081106
                     12,                0.65774,                0.70939,                0.75685,                0.89871,                0.98282,                0.29278,                0.95006,                0.83642,                0.98282,                0.29278,                0.95006,                0.79619,                 0.5776,                0.87003,                 2.3567,                0.87303,             0.00087642,             0.00087642,             0.00087642
                     13,                0.63794,                0.68246,                0.74841,                0.87987,                0.98865,                0.44861,                0.95316,                  0.827,                0.98865,                0.44861,                0.95316,                0.80537,                0.58407,                0.85245,                 2.2077,                0.89612,             0.00094013,             0.00094013,             0.00094013
                     14,                 0.6493,                0.69978,                0.74591,                0.90376,                0.98622,                0.36752,                0.85477,                0.74226,                0.98622,                0.36752,                0.85496,                0.72927,                 0.5743,                0.87523,                  2.287,                 0.8731,              0.0010022,              0.0010022,              0.0010022
                     15,                0.62523,                0.68627,                0.70272,                0.87777,                 0.9871,                0.73081,                0.95714,                0.83713,                 0.9871,                0.73081,                0.95722,                0.79414,                0.57982,                 1.0142,                 1.8506,                0.88075,              0.0010626,              0.0010626,              0.0010626
                     16,                 0.6129,                0.66649,                0.70154,                0.89754,                0.88323,                0.81068,                0.93192,                 0.7865,                0.88323,                0.81068,                0.93192,                0.78556,                0.65506,                0.93123,                 1.7749,                0.90559,              0.0011214,              0.0011214,              0.0011214
                     17,                0.60881,                0.68553,                0.67272,                0.87485,                0.98623,                0.87064,                0.96933,                0.84769,                0.98623,                0.87064,                0.96933,                0.76216,                0.55682,                 1.1863,                  1.617,                0.86487,              0.0011785,              0.0011785,              0.0011785
